iteration,loss,accuracy
1999,2.295179605484009,0.13840000331401825
3999,2.2745423316955566,0.1543000042438507
5999,2.255898952484131,0.1760999858379364
7999,2.2378337383270264,0.20559999346733093
9999,2.2201719284057617,0.24960000813007355
11999,2.2021119594573975,0.30489999055862427
13999,2.18351674079895,0.35520002245903015
15999,2.163043737411499,0.4034000039100647
17999,2.1414453983306885,0.4580000042915344
19999,2.1184287071228027,0.5121999979019165
21999,2.094752073287964,0.5461999773979187
23999,2.0678911209106445,0.586899995803833
25999,2.0394837856292725,0.6162999868392944
27999,2.009157180786133,0.641800045967102
29999,1.9757575988769531,0.6634000539779663
31999,1.9394010305404663,0.6858999729156494
33999,1.9002101421356201,0.7013000249862671
35999,1.8584827184677124,0.7182000279426575
37999,1.8127195835113525,0.729200005531311
39999,1.7647120952606201,0.7405999898910522
41999,1.7111984491348267,0.7501000165939331
43999,1.656389832496643,0.7587000131607056
45999,1.6022396087646484,0.76419997215271
47999,1.5441042184829712,0.7724000215530396
49999,1.4817183017730713,0.7785000205039978
51999,1.4210172891616821,0.7811999917030334
53999,1.358298897743225,0.7871000170707703
55999,1.2952321767807007,0.7919999957084656
57999,1.2342309951782227,0.7968999743461609
59999,1.1756184101104736,0.8024999499320984
61999,1.1180387735366821,0.8084999918937683
63999,1.0653796195983887,0.8121000528335571
65999,1.0171761512756348,0.8133999705314636
67999,0.9704849123954773,0.8182999491691589
69999,0.9275374412536621,0.8219000101089478
71999,0.8885664939880371,0.8251999616622925
73999,0.8519056439399719,0.8313000798225403
75999,0.820467472076416,0.8352999687194824
77999,0.7909802198410034,0.8379999995231628
79999,0.7621403932571411,0.842199981212616
