iteration,loss,accuracy
249,2.3159127235412598,0.12860000133514404
499,2.31282377243042,0.1290000081062317
749,2.309741497039795,0.12919999659061432
999,2.307011842727661,0.13009999692440033
1249,2.3041067123413086,0.13109998404979706
1499,2.3011162281036377,0.13169999420642853
1749,2.2982916831970215,0.1339000016450882
1999,2.2954983711242676,0.13510000705718994
2249,2.2929511070251465,0.1363999992609024
2499,2.2898197174072266,0.13840000331401825
2749,2.2872180938720703,0.14020000398159027
2999,2.2848238945007324,0.1421000063419342
3249,2.2820305824279785,0.14390000700950623
3499,2.279449462890625,0.1454000174999237
3749,2.2771525382995605,0.14820000529289246
3999,2.2747626304626465,0.14980000257492065
4249,2.272096633911133,0.15440000593662262
4499,2.269695281982422,0.1559000015258789
4749,2.2672030925750732,0.1582999974489212
4999,2.2648513317108154,0.16199998557567596
5249,2.262693405151367,0.16529999673366547
5499,2.2602896690368652,0.1680999994277954
5749,2.2579970359802246,0.1703999936580658
5999,2.25593900680542,0.17350001633167267
6249,2.2536251544952393,0.17640002071857452
6499,2.251474380493164,0.17909999191761017
6749,2.2492899894714355,0.1826999932527542
6999,2.247002601623535,0.18880000710487366
7249,2.2448925971984863,0.1931000053882599
7499,2.2427139282226562,0.19910000264644623
7749,2.240454912185669,0.2045000046491623
7999,2.238368511199951,0.2125999927520752
8249,2.2361702919006348,0.21779999136924744
8499,2.2338504791259766,0.22350001335144043
8749,2.2315869331359863,0.2314000129699707
8999,2.229511260986328,0.2355000078678131
9249,2.227222204208374,0.2395000010728836
9499,2.2251534461975098,0.24449999630451202
9749,2.222815752029419,0.2523999810218811
9999,2.220381259918213,0.2597000002861023
10249,2.2184646129608154,0.26489999890327454
10499,2.2161824703216553,0.26969999074935913
10749,2.213747024536133,0.2793000340461731
10999,2.211247444152832,0.2882999777793884
11249,2.208949565887451,0.29430001974105835
11499,2.2063541412353516,0.30100002884864807
11749,2.2041878700256348,0.30549997091293335
11999,2.2017252445220947,0.31200000643730164
12249,2.199240207672119,0.31689998507499695
12499,2.196773052215576,0.321399986743927
12749,2.1943955421447754,0.3255999982357025
12999,2.192197561264038,0.3320000171661377
13249,2.1896815299987793,0.33730000257492065
13499,2.1876518726348877,0.3402999937534332
13749,2.185059070587158,0.34759998321533203
13999,2.1829421520233154,0.3522999882698059
14249,2.180133104324341,0.35659998655319214
14499,2.1775341033935547,0.3620000183582306
14749,2.175036907196045,0.3711000084877014
14999,2.1725001335144043,0.37869998812675476
15249,2.1701388359069824,0.3823999762535095
15499,2.1676077842712402,0.3889999985694885
15749,2.1650729179382324,0.39329999685287476
15999,2.16249418258667,0.3958999812602997
16249,2.1597208976745605,0.3986000120639801
16499,2.156981945037842,0.40790000557899475
16749,2.1546173095703125,0.4128999710083008
16999,2.1520321369171143,0.4196000099182129
17249,2.149275302886963,0.4220999777317047
17499,2.1466426849365234,0.43150001764297485
17749,2.1439480781555176,0.44020000100135803
17999,2.1410973072052,0.4498000144958496
18249,2.1383070945739746,0.4554999768733978
18499,2.135612726211548,0.4647999703884125
18749,2.1328418254852295,0.4746999740600586
18999,2.130025863647461,0.4810999929904938
19249,2.127319097518921,0.48730000853538513
19499,2.1245594024658203,0.4941999912261963
19749,2.1215827465057373,0.5019999742507935
19999,2.118516445159912,0.5101000070571899
